Date,Country,Exchange rate
1971-01-04,Japan,357.73
1971-01-05,Japan,357.81
1971-01-06,Japan,357.86
1971-01-07,Japan,357.87
1971-01-08,Japan,357.82
1971-01-11,Japan,357.95
1971-01-12,Japan,358.06
1971-01-13,Japan,358.44
1971-01-14,Japan,358.40
1971-01-15,Japan,358.40
1971-01-18,Japan,358.29
1971-01-19,Japan,358.35
1971-01-20,Japan,358.40
1971-01-21,Japan,358.27
1971-01-22,Japan,357.90
1971-01-25,Japan,357.73
1971-01-26,Japan,357.78
1971-01-27,Japan,357.79
1971-01-28,Japan,357.83
1971-01-29,Japan,357.72
1971-02-01,Japan,357.67
1971-02-02,Japan,357.55
1971-02-03,Japan,357.54
1971-02-04,Japan,357.51
1971-02-05,Japan,357.53
1971-02-08,Japan,357.49
1971-02-09,Japan,357.50
1971-02-10,Japan,357.50
1971-02-11,Japan,357.50
1971-02-12,Japan,
1971-02-15,Japan,
1971-02-16,Japan,357.53
1971-02-17,Japan,357.53
1971-02-18,Japan,357.53
1971-02-19,Japan,357.56
1971-02-22,Japan,357.60
1971-02-23,Japan,357.55
1971-02-24,Japan,357.60
1971-02-25,Japan,357.56
1971-02-26,Japan,357.56
1971-03-01,Japan,357.63
1971-03-02,Japan,357.56
1971-03-03,Japan,357.49
1971-03-04,Japan,357.45
1971-03-05,Japan,357.59
1971-03-08,Japan,357.55
1971-03-09,Japan,357.46
1971-03-10,Japan,357.59
1971-03-11,Japan,357.56
1971-03-12,Japan,357.58
1971-03-15,Japan,357.54
1971-03-16,Japan,357.49
1971-03-17,Japan,357.53
1971-03-18,Japan,357.56
1971-03-19,Japan,357.56
1971-03-22,Japan,357.44
1971-03-23,Japan,357.53
1971-03-24,Japan,357.53
1971-03-25,Japan,357.47
1971-03-26,Japan,357.47
1971-03-29,Japan,357.44
1971-03-30,Japan,357.49
1971-03-31,Japan,357.42
1971-04-01,Japan,357.49
1971-04-02,Japan,357.53
1971-04-05,Japan,357.50
1971-04-06,Japan,357.46
1971-04-07,Japan,357.55
1971-04-08,Japan,357.55
1971-04-09,Japan,357.50
1971-04-12,Japan,357.50
1971-04-13,Japan,357.62
1971-04-14,Japan,357.58
1971-04-15,Japan,357.50
1971-04-16,Japan,357.54
1971-04-19,Japan,357.49
1971-04-20,Japan,357.49
1971-04-21,Japan,357.49
1971-04-22,Japan,357.49
1971-04-23,Japan,357.49
1971-04-26,Japan,357.50
1971-04-27,Japan,357.49
1971-04-28,Japan,357.50
1971-04-29,Japan,357.41
1971-04-30,Japan,357.40
1971-05-03,Japan,357.41
1971-05-04,Japan,357.40
1971-05-05,Japan,357.40
1971-05-06,Japan,357.41
1971-05-07,Japan,357.41
1971-05-10,Japan,357.14
1971-05-11,Japan,357.44
1971-05-12,Japan,357.53
1971-05-13,Japan,357.49
1971-05-14,Japan,357.49
1971-05-17,Japan,357.40
1971-05-18,Japan,357.44
1971-05-19,Japan,357.40
1971-05-20,Japan,357.46
1971-05-21,Japan,357.40
1971-05-24,Japan,357.40
1971-05-25,Japan,357.40
1971-05-26,Japan,357.44
1971-05-27,Japan,357.40
1971-05-28,Japan,357.40
1971-05-31,Japan,
1971-06-01,Japan,357.46
1971-06-02,Japan,357.40
1971-06-03,Japan,357.46
1971-06-04,Japan,357.40
1971-06-07,Japan,357.40
1971-06-08,Japan,357.40
1971-06-09,Japan,357.40
1971-06-10,Japan,357.40
1971-06-11,Japan,357.40
1971-06-14,Japan,357.40
1971-06-15,Japan,357.46
